x,y
-2.738124931355246,-4.501784382817727
-2.738333159289928,-4.501800466280459
-2.7386571134793893,-4.500791772121748
-2.7389789233397286,-4.4997800329746545
-2.7392984674720187,-4.498768671849046
-2.7396157646721835,-4.4977574893093015
-2.739930830053575,-4.4967463750102326
-2.740243676651742,-4.495735224787145
-2.740554315507326,-4.4947239422160585
-2.740862755745984,-4.493712441932453
-2.741169004739535,-4.49270065073196
-2.7414730683076285,-4.4916885072855575
-2.741774950863186,-4.49067593207323
-2.742074655302531,-4.489662834835148
-2.742372183137106,-4.4886491963555075
-2.7426675352587395,-4.487635002095454
-2.742960712061822,-4.486620241270357
-2.7432517135407575,-4.4856049061185415
-2.7435405393716388,-4.484588991311178
-2.7438271889800863,-4.483572493476649
-2.7441116615970724,-4.482555410817613
-2.744393956304455,-4.481537742802926
-2.7446740720718017,-4.48051948991993
-2.744952007785915,-4.479500653475341
-2.745227762274302,-4.478481235435219
-2.7455013343236607,-4.47746123829637
-2.745772722694298,-4.476440664982981
-2.7460419261312627,-4.475419518763549
-2.7463089433728363,-4.474397803184096
-2.7465737731569226,-4.473375522014465
-2.746836414225781,-4.472352679205137
-2.747096865329459,-4.471329278852489
-2.7473551252282267,-4.4703053251708385
-2.7476111926942353,-4.469280822469946
-2.7478650665125977,-4.468255775136906
-2.748116745482034,-4.467230187621563
-2.748366228415197,-4.466204064424768
-2.7486135141387726,-4.4651774100889146
-2.748858601493417,-4.464150229190315
-2.7491014893335923,-4.463122526333058
-2.74934217652733,-4.462094306144052
-2.7495806619559624,-4.461065573269029
-2.749816944513832,-4.46003633236933
-2.7498159579115877,-4.46003578466858
-2.7500461312742606,-4.459026777497157
-2.750277908421549,-4.457996528585749
-2.750507449301095,-4.456965765455484
-2.7507347592895735,-4.45593450704753
-2.7509598420923043,-4.454902759799721
-2.751182700523011,-4.453870529512909
-2.7514033366423183,-4.452837821743047
-2.7516217519041817,-4.45180464186691
-2.7518379472766297,-4.450770995121504
-2.7520519233395566,-4.449736886634584
-2.7522636803637166,-4.448702321448762
-2.7524732183744276,-4.447667304540507
-2.7526805372028775,-4.446631840835114
-2.7528856365273677,-4.4455959352184715
-2.7530885159064336,-4.444559592546275
-2.7532891748053907,-4.443522817651256
-2.7534876126175916,-4.44248561534881
-2.753683828681408,-4.4414479904413975
-2.753877822293795,-4.440409947721952
-2.7540695927210925,-4.439371491976526
-2.7542591392076257,-4.438332627986333
-2.75444646098254,-4.43729336052933
-2.754631557265218,-4.436253694381422
-2.754814427269577,-4.435213634317386
-2.754995070207465,-4.434173185111578
-2.755173485291341,-4.433132351538461
-2.7553496717363934,-4.432091138373014
-2.755523628762201,-4.43104955039102
-2.7556953555940438,-4.430007592369294
-2.755864851463927,-4.428965269085841
-2.756032115611386,-4.427922585319973
-2.7561971472841167,-4.426879545852383
-2.7563599457384624,-4.4258361554652055
-2.756520510239798,-4.424792418942044
-2.756678840062827,-4.4237483410679905
-2.756834934491812,-4.422703926629636
-2.7569887928207546,-4.421659180415063
-2.757140414353531,-4.420614107213841
-2.7572897984040043,-4.419568711817013
-2.7574369442961024,-4.41852299901708
-2.757581851363883,-4.417476973607981
-2.7577245189515835,-4.416430640385073
-2.7577251289273454,-4.416409408319977
-2.757861184783052,-4.41538350935402
-2.75799678987154,-4.4143362376809865
-2.7581301205618143,-4.413288663878673
-2.7582611841791804,-4.412240805542221
-2.758389985069011,-4.411192668198179
-2.758516526614829,-4.410144256942125
-2.7586408114176466,-4.409095576786912
-2.758762841450402,-4.408046632694725
-2.7588826181836774,-4.406997429589699
-2.759000142687262,-4.405947972367127
-2.7591154157120354,-4.404898265900585
-2.7591163276920296,-4.404877220879437
-2.7592303050507367,-4.403848643749953
-2.759343472374199,-4.402798706916525
-2.7594543575768062,-4.401748517167153
-2.759562968593256,-4.400698091880837
-2.759669310251909,-4.399647436421852
-2.759773386331726,-4.398596555754847
-2.7598751997641116,-4.397545454788212
-2.759974752801708,-4.396494138401315
-2.7599745533338638,-4.3964728663743955
-2.7600683022717503,-4.395442271410919
-2.7601607405171307,-4.394390308003882
-2.7602508899848637,-4.393338136369378
-2.760338759576332,-4.39228577379485
-2.7604243545435234,-4.391233225620073
-2.7605083724574544,-4.390180593882647
-2.760594334332523,-4.389128083919065
